film_id,title,film_duration,description,special_features,release_year,rental_duration,rental_rate,replacement_cost,language,category,total_copias
19,"AMADEUS HOLY",113,"A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon","Commentaries,Deleted Scenes,Behind the Scenes",2006,6,0.99,20.99,English,Action,6
21,"AMERICAN CIRCUS",129,"A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank","Commentaries,Behind the Scenes",2006,3,4.99,17.99,English,Action,6
29,"ANTITRUST TOMATOES",168,"A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India","Trailers,Commentaries,Deleted Scenes",2006,5,2.99,11.99,English,Action,2
56,"BAREFOOT MANCHURIAN",129,"A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park","Trailers,Commentaries",2006,6,2.99,15.99,English,Action,5
67,"BERETS AGENT",77,"A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China","Deleted Scenes",2006,5,2.99,24.99,English,Action,6
97,"BRIDE INTRIGUE",56,"A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans","Trailers,Commentaries,Behind the Scenes",2006,7,0.99,24.99,English,Action,6
105,"BULL SHAWSHANK",125,"A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies","Deleted Scenes",2006,6,0.99,21.99,English,Action,5
111,"CADDYSHACK JEDI",52,"A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia","Commentaries,Deleted Scenes",2006,3,0.99,17.99,English,Action,4
115,"CAMPUS REMEMBER",167,"A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat","Behind the Scenes",2006,5,2.99,27.99,English,Action,7
126,"CASUALTIES ENCINO",179,"A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery",Trailers,2006,3,4.99,16.99,English,Action,3
130,"CELEBRITY HORN",110,"A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank","Deleted Scenes,Behind the Scenes",2006,7,0.99,24.99,English,Action,6
162,"CLUELESS BUCKET",95,"A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House","Trailers,Deleted Scenes,Behind the Scenes",2006,4,2.99,13.99,English,Action,7
194,"CROW GREASE",104,"A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station","Trailers,Commentaries,Behind the Scenes",2006,6,0.99,22.99,English,Action,4
205,"DANCES NONE",58,"A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,3,0.99,22.99,English,Action,4
210,"DARKO DORADO",130,"A Stunning Reflection of a Frisbee And a Husband who must Redeem a Dog in New Orleans","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,3,4.99,13.99,English,Action,3
212,"DARN FORRESTER",185,"A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat","Deleted Scenes",2006,7,4.99,14.99,English,Action,5
229,"DEVIL DESIRE",87,"A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan","Trailers,Behind the Scenes",2006,6,4.99,12.99,English,Action,4
250,"DRAGON SQUAD",170,"A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China","Deleted Scenes,Behind the Scenes",2006,4,0.99,26.99,English,Action,4
252,"DREAM PICKUP",135,"A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico","Trailers,Commentaries,Behind the Scenes",2006,6,2.99,18.99,English,Action,6
253,"DRIFTER COMMANDMENTS",61,"A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat","Trailers,Behind the Scenes",2006,5,4.99,18.99,English,Action,6
271,"EASY GLADIATOR",148,"A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India","Trailers,Commentaries,Behind the Scenes",2006,5,4.99,12.99,English,Action,5
287,"ENTRAPMENT SATISFACTION",176,"A Thoughtful Panorama of a Hunter And a Teacher who must Reach a Mad Cow in A U-Boat","Commentaries,Deleted Scenes,Behind the Scenes",2006,5,0.99,19.99,English,Action,4
292,"EXCITEMENT EVE",51,"A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank",Commentaries,2006,3,0.99,20.99,English,Action,6
303,"FANTASY TROOPERS",58,"A Touching Saga of a Teacher And a Monkey who must Overcome a Secret Agent in A MySQL Convention","Behind the Scenes",2006,6,0.99,27.99,English,Action,6
327,"FOOL MOCKINGBIRD",158,"A Lacklusture Tale of a Crocodile And a Composer who must Defeat a Madman in A U-Boat","Trailers,Commentaries",2006,3,4.99,24.99,English,Action,6
329,"FORREST SONS",63,"A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat",Commentaries,2006,4,2.99,15.99,English,Action,6
360,"GLASS DYING",103,"A Astounding Drama of a Frisbee And a Astronaut who must Fight a Dog in Ancient Japan",Trailers,2006,4,0.99,24.99,English,Action,4
371,"GOSFORD DONNIE",129,"A Epic Panorama of a Mad Scientist And a Monkey who must Redeem a Secret Agent in Berlin",Commentaries,2006,5,4.99,17.99,English,Action,3
375,"GRAIL FRANKENSTEIN",85,"A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft","Commentaries,Deleted Scenes,Behind the Scenes",2006,4,2.99,17.99,English,Action,2
395,"HANDICAP BOONDOCK",108,"A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia","Commentaries,Deleted Scenes,Behind the Scenes",2006,4,0.99,28.99,English,Action,6
417,"HILLS NEIGHBORS",93,"A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat","Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006,5,0.99,29.99,English,Action,6
501,"KISSING DOLLS",141,"A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station",Trailers,2006,3,4.99,9.99,English,Action,5
