actor_id,first_name,last_name,numero_peliculas
107,GINA,DEGENERES,42
102,WALTER,TORN,41
198,MARY,KEITEL,40
181,MATTHEW,CARREY,39
23,SANDRA,KILMER,37
81,SCARLETT,DAMON,36
158,VIVIEN,BASINGER,35
60,HENRY,BERRY,35
37,VAL,BOLGER,35
106,GROUCHO,DUNST,35
144,ANGELA,WITHERSPOON,35
13,UMA,WOOD,35
92,KIRSTEN,AKROYD,34
105,SIDNEY,CROWE,34
65,ANGELA,HUDSON,34
150,JAYNE,NOLTE,34
108,WARREN,NOLTE,34
187,RENEE,BALL,33
26,RIP,CRAWFORD,33
101,SUSAN,DAVIS,33
127,KEVIN,GARLAND,33
139,EWAN,GOODING,33
90,SEAN,GUINESS,33
146,ALBERT,JOHANSSON,33
27,JULIA,MCQUEEN,33
94,KENNETH,TORN,33
117,RENEE,TRACY,33
197,REESE,WEST,33
83,BEN,WILLIS,33
111,CAMERON,ZELLWEGER,33
58,CHRISTIAN,AKROYD,32
123,JULIANNE,DENCH,32
161,HARVEY,HOPE,32
50,NATALIE,HOPKINS,32
140,WHOOPI,HURT,32
119,WARREN,JACKMAN,32
45,REESE,KILMER,32
157,GRETA,MALDEN,32
136,ED,MANSFIELD,32
17,HELEN,VOIGHT,32
76,ANGELINA,ASTAIRE,31
12,KARL,BERRY,31
104,PENELOPE,CRONYN,31
143,RIVER,DEAN,31
28,WOODY,HOFFMAN,31
82,WOODY,JOLIE,31
125,ALBERT,NOLTE,31
84,JAMES,PITT,31
142,JADA,RYDER,31
155,IAN,TANDY,31
66,MARY,TANDY,31
149,RUSSELL,TEMPLE,31
95,DARYL,WAHLBERG,31
168,WILL,WILSON,31
147,FAY,WINSLET,31
85,MINNIE,ZELLWEGER,31
14,VIVIEN,BERGEN,30
185,MICHAEL,BOLGER,30
129,DARYL,CRAWFORD,30
57,JUDE,CRUISE,30
188,ROCK,DUKAKIS,30
191,GREGORY,GOODING,30
64,RAY,JOHANSSON,30
103,MATTHEW,LEIGH,30
128,CATE,MCQUEEN,30
7,GRACE,MOSTEL,30
133,RICHARD,PENN,30
44,NICK,STALLONE,30
53,MENA,TEMPLE,30
20,LUCILLE,TRACY,30
196,BELA,WALKEN,30
68,RIP,WINSLET,30
40,JOHNNY,CAGE,29
176,JON,CHASE,29
41,JODIE,DEGENERES,29
36,BURT,DUKAKIS,29
184,HUMPHREY,GARLAND,29
179,ED,GUINESS,29
169,KENNETH,HOFFMAN,29
5,JOHNNY,LOLLOBRIGIDA,29
62,JAYNE,NEESON,29
192,JOHN,SUVARI,29
29,ALEC,WAYNE,29
145,KIM,ALLEN,28
115,HARRISON,BALE,28
39,GOLDIE,BRODY,28
80,RALPH,CRUZ,28
154,MERYL,GIBSON,28
141,CATE,HARRIS,28
56,DAN,HARRIS,28
79,MAE,HOFFMAN,28
74,MILLA,KEITEL,28
15,CUBA,OLIVIER,28
171,OLYMPIA,PFEIFFER,28
190,AUDREY,BAILEY,27
98,CHRIS,BRIDGES,27
86,GREG,CHAPLIN,27
16,FRED,COSTNER,27
49,ANNE,CRONYN,27
173,ALAN,DREYFUSS,27
175,WILLIAM,HACKMAN,27
97,MEG,HAWKE,27
113,MORGAN,HOPKINS,27
130,GRETA,KEITEL,27
177,GENE,MCKELLEN,27
42,TOM,MIRANDA,27
120,PENELOPE,MONROE,27
21,KIRSTEN,PALTROW,27
195,JAYNE,SILVERSTONE,27
59,DUSTIN,TAUTOU,27
137,MORGAN,WILLIAMS,27
124,SCARLETT,BENING,26
159,LAURA,BRODY,26
167,LAURENCE,BULLOCK,26
48,FRANCES,DAY-LEWIS,26
165,AL,GARLAND,26
